Area Name,Occupational Title, Employment,Mean Wage, Entry Wage,Experienced Wage
Hudson Valley Region,Computer Occupations All Other,380,88.39,60.17,102.5
Hudson Valley Region,Operations Research Analysts,510,135.17,61.04,172.23
Long Island Region,Computer and Mathematical Occupations,23850,87.2,49.56,106.02
Long Island Region,Computer Systems Analysts,3190,92.52,58.47,109.55
Long Island Region,Information Security Analysts,640,98.24,63.53,115.59
Long Island Region,Computer Programmers,2160,86.52,42.7,108.43
Long Island Region,Software Developers Applications,3870,98.49,60.09,117.7
Long Island Region,Software Developers Systems Software,2020,113.4,75.87,132.16
Long Island Region,Web Developers,750,70.48,40.47,85.48
Long Island Region,Database Administrators,790,91.31,56.08,108.92
Long Island Region,Network and Computer Systems Administrators,2860,88.23,61.36,101.67
Long Island Region,Computer Network Architects,1010,104.79,72.36,121.01
Long Island Region,Computer User Support Specialists,4300,57.2,36.75,67.42
Long Island Region,Computer Network Support Specialists,1400,75.85,49.18,89.18
Long Island Region,Computer Occupations All Other,350,91.55,60.77,106.94
Long Island Region,Operations Research Analysts,220,86.49,60.39,99.54
Mohawk Valley Region,Computer and Mathematical Occupations,2970,72.68,41.15,88.44
Mohawk Valley Region,Computer and Information Research Scientists,130,99.54,76.61,111
Mohawk Valley Region,Computer Systems Analysts,340,75.18,49.19,88.17
Mohawk Valley Region,Information Security Analysts,60,89.06,49.27,108.96
Mohawk Valley Region,Computer Programmers,260,71.73,47.44,83.88
Mohawk Valley Region,Software Developers Applications,320,82.82,57.24,95.61
Mohawk Valley Region,Software Developers Systems Software,230,107.44,75.39,123.46
Mohawk Valley Region,Web Developers,170,65.64,35.92,80.5
Mohawk Valley Region,Database Administrators,70,63.67,39.99,75.51
Mohawk Valley Region,Network and Computer Systems Administrators,310,66.11,45.75,76.3
Mohawk Valley Region,Computer Network Architects,70,92.84,64.48,107.02
Mohawk Valley Region,Computer User Support Specialists,580,46.64,32.84,53.54
Mohawk Valley Region,Computer Network Support Specialists,170,60.18,34.45,73.05
Mohawk Valley Region,Computer Occupations All Other,60,73.37,53.16,83.47
Mohawk Valley Region,Operations Research Analysts,60,76.59,45.27,92.25
New York City Region,Computer and Mathematical Occupations,137460,105.2,58.12,128.74
New York City Region,Computer and Information Research Scientists,480,165.48,99.93,198.25
New York City Region,Computer Systems Analysts,22310,109.44,65.99,131.16
New York City Region,Information Security Analysts,3150,131.07,78.94,157.14
New York City Region,Computer Programmers,7790,104.25,60.06,126.35
New York City Region,Software Developers Applications,33350,124.45,78.51,147.41
New York City Region,Software Developers Systems Software,9570,121.24,73.64,145.04
New York City Region,Web Developers,8070,88.05,53.04,105.56
New York City Region,Database Administrators,3550,99.84,60.5,119.52
New York City Region,Network and Computer Systems Administrators,12690,100.92,62.94,119.92
New York City Region,Computer Network Architects,4460,119.04,58.29,149.42
New York City Region,Computer User Support Specialists,19140,62.14,38.58,73.92
New York City Region,Computer Network Support Specialists,4850,87.2,53.83,103.88
New York City Region,Computer Occupations All Other,1660,92.44,51.77,112.77
New York City Region,Actuaries,1680,144.17,76.19,178.17
New York City Region,Operations Research Analysts,4010,113.08,59.96,139.64
New York City Region,Statisticians,690,92.56,63.89,106.9
North Country Region,Computer and Mathematical Occupations,1320,59.96,37.6,71.15
North Country Region,Computer Systems Analysts,210,69.88,54.16,77.74
North Country Region,Information Security Analysts,20,69.17,38.37,84.56
North Country Region,Computer Programmers,80,66.13,47.26,75.57
North Country Region,Software Developers Applications,90,79.02,52.27,92.4
North Country Region,Software Developers Systems Software,20,97.59,58.25,117.26
North Country Region,Web Developers,40,44.95,29.44,52.7
North Country Region,Database Administrators,50,53.73,36.96,62.11
North Country Region,Network and Computer Systems Administrators,210,58.02,36.89,68.59
North Country Region,Computer Network Architects,30,66.51,42.62,78.46
North Country Region,Computer User Support Specialists,410,45.32,30.74,52.6
North Country Region,Computer Network Support Specialists,50,55.19,39.85,62.86
North Country Region,Computer Occupations All Other,90,76.86,62.8,83.9
Southern Tier Region,Computer and Mathematical Occupations,5270,80.65,47.13,97.4
Southern Tier Region,Computer Systems Analysts,460,80.96,54.84,94.03
Southern Tier Region,Information Security Analysts,130,98.53,65.68,114.96
Southern Tier Region,Computer Programmers,520,84.13,58.1,97.15
Southern Tier Region,Software Developers Applications,1040,91.53,57.86,108.36
Southern Tier Region,Software Developers Systems Software,580,105.23,66.82,124.43
Southern Tier Region,Web Developers,100,63.36,41.56,74.26
Southern Tier Region,Database Administrators,120,77.2,47.93,91.83
Southern Tier Region,Network and Computer Systems Administrators,630,81.39,50.98,96.59
Southern Tier Region,Computer Network Architects,230,99.29,46.18,125.84
Southern Tier Region,Computer User Support Specialists,1100,53.23,35.16,62.27
Southern Tier Region,Computer Network Support Specialists,220,63.24,43.01,73.36
Western New York Region,Computer and Mathematical Occupations,13500,70.7,40.22,85.95
Western New York Region,Computer Systems Analysts,1960,76.45,51.07,89.13
Western New York Region,Information Security Analysts,140,82.89,53.17,97.75
Western New York Region,Computer Programmers,1250,70.77,43.66,84.32
Western New York Region,Software Developers Applications,1700,83.93,56.94,97.43
Western New York Region,Software Developers Systems Software,940,87.46,55.55,103.41
Western New York Region,Web Developers,550,57.48,34.15,69.14
Western New York Region,Database Administrators,360,78.94,41.15,97.83
Western New York Region,Network and Computer Systems Administrators,1520,73.78,47.01,87.17
Western New York Region,Computer Network Architects,270,86.98,58.79,101.07
Western New York Region,Computer User Support Specialists,2970,47.91,30.85,56.45
Western New York Region,Computer Network Support Specialists,980,61.08,34.73,74.25
Western New York Region,Computer Occupations All Other,230,68.97,39.65,83.63
Western New York Region,Operations Research Analysts,320,76.77,52.19,89.06
